Used,variable_2014,description_2014,topic_2014,variable_2008,description_2008,topic_2008,Used
,TJB2_WKSUM4,Recode of amount of wage/salary earnings for week 4 of job 2,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB2_WKSUM5,Recode of amount of wage/salary earnings for week 5 of job 2,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB2_WSBEG,What time of the day did ... begin work most days?,Labor Force,EWSBEG1,Time of day work began in job 1,Work Schedule,
,TJB2_WSEND,What time of the day did ... end work most days?,Labor Force,EWSEND2,Time of day work ended in job 2,Work Schedule,
,TJB3_ANNSAL1,What is/was the gross dollar amount of ... first annual salary before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_ANNSAL2,What is/was the gross dollar amount of ... second annual salary before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_ANNSAL3,What is/was the gross dollar amount of ... third annual salary before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_BWKLY1,What is/was the gross dollar amount of ... the first bi-weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_BWKLY2,What is/was the gross dollar amount of ... the second bi-weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_BWKLY3,What is/was the gross dollar amount of ... the third bi-weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_BXAMT,A variable describing how much the respondent received in bonus payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_CXAMT,A variable describing how much the respondent received in commission payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_EMPALL,About how many people are employed by ... at ALL LOCATIONS together?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_EMPB,"What is the maximum number of employees, including ..., working for ... at any given time?",Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_GAMT1,What is/was the gross dollar amount of ... actual gross pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_HOURLY1,What is/was the gross dollar amount of ... the first hourly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_HOURLY2,What is/was the gross dollar amount of ... the second hourly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_HOURLY3,What is/was the gross dollar amount of ... the third hourly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_IMBMIC,How many miles were reimbursed?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_IND,Industry code,Labor Force,EJBIND2,Industry code,Job,
,TJB3_JOBHRS1,First number of hours worked per week within a job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_JOBHRS2,Second number of hours worked per week within a job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_JOBHRS3,Third number of hours worked per week within a job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_MSUM,Monthly earnings from job 3.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_MTHLY1,What is/was the gross dollar amount of ... the first monthly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_MTHLY2,What is/was the gross dollar amount of ... the second monthly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_MTHLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_MWKHRS,Average number of hours worked per week at job 3 during the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_OCC,Occupation code,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_OINCAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_OTHER1,What is/was the gross dollar amount of ... the first average monthly pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_OTHER2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_OTHER3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_OXAMT,A variable describing how much the respondent received in overtime payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_PRFTB,Amount of profit/loss a business made after correcting for any salary/wages that may have been paid to the owner.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_PVMILE,How many miles did ... drive each way as part of his/her commute?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_PVOEXPC,What is the annual amount of ... other job-related expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_PVOTHRC,How much are ... work commuting expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_PVPARKC,How much did ... spend on parking and tolls?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_PVTIME,What is ... one-way travel to work in minutes?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_SMTHLY1,What is/was the gross dollar amount of ... the first bi-monthly pay rate pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_SMTHLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_SMTHLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
1,TEHC_ST,Monthly state of residence,Residences,TFIPSST,FIPS State Code,Household,1
,TJB3_TXAMT,A variable describing how much the respondent received in tips payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKHRS1,Hours worked at job 3 in week 1.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKHRS2,Hours worked at job 3 in week 2.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKHRS3,Hours worked at job 3 in week 3.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKHRS4,Hours worked at job 3 in week 4.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKHRS5,Hours worked at job 3 in week 5.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKLY1,What is/was the gross dollar amount of ... the first weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKLY2,What is/was the gross dollar amount of ... the second weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKLY3,What is/was the gross dollar amount of ... the third weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKSUM1,Recode of amount of wage/salary earnings for week 1 of job 3,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKSUM2,Recode of amount of wage/salary earnings for week 2 of job 3,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKSUM3,Recode of amount of wage/salary earnings for week 3 of job 3,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKSUM4,Recode of amount of wage/salary earnings for week 4 of job 3,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WKSUM5,Recode of amount of wage/salary earnings for week 5 of job 3,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WSBEG,What time of the day did ... begin work most days?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB3_WSEND,What time of the day did ... end work most days?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_ANNSAL1,What is/was the gross dollar amount of ... first annual salary before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_ANNSAL2,What is/was the gross dollar amount of ... second annual salary before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_ANNSAL3,What is/was the gross dollar amount of ... third annual salary before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_BWKLY1,What is/was the gross dollar amount of ... the first bi-weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_BWKLY2,What is/was the gross dollar amount of ... the second bi-weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_BWKLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_BXAMT,A variable describing how much the respondent received in bonus payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_CXAMT,A variable describing how much the respondent received in commission payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_EMPALL,About how many people are employed by ... at ALL LOCATIONS together?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_EMPB,"What is the maximum number of employees, including ..., working for ... at any given time?",Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_GAMT1,What is/was the gross dollar amount of ... actual gross pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_HOURLY1,What is/was the gross dollar amount of ... the first hourly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_HOURLY2,What is/was the gross dollar amount of ... the second hourly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_HOURLY3,What is/was the gross dollar amount of ... the third hourly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_IMBMIC,How many miles were reimbursed?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_IND,Industry code,Labor Force,EJBIND2,Industry code,Job,
,TJB4_JOBHRS1,First number of hours worked per week within a job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_JOBHRS2,Second number of hours worked per week within a job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_JOBHRS3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_MSUM,Monthly earnings from job 4.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_MTHLY1,What is/was the gross dollar amount of ... the first monthly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_MTHLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_MTHLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_MWKHRS,Average number of hours worked per week at job 4 during the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_OCC,Occupation code,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_OINCAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_OTHER1,What is/was the gross dollar amount of ... the first average monthly pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_OTHER2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_OTHER3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_OXAMT,A variable describing how much the respondent received in overtime payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_PRFTB,Amount of profit/loss a business made after correcting for any salary/wages that may have been paid to the owner.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_PVMILE,How many miles did ... drive each way as part of his/her commute?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_PVOEXPC,What is the annual amount of ... other job-related expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_PVOTHRC,How much are ... work commuting expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_PVPARKC,How much did ... spend on parking and tolls?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_PVTIME,What is ... one-way travel to work in minutes?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_SMTHLY1,What is/was the gross dollar amount of ... the first bi-monthly pay rate pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_SMTHLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_SMTHLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_STRTYR,In what year did ... begin this job/business?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_TXAMT,A variable describing how much the respondent received in tips payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKHRS1,Hours worked at job 4 in week 1.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKHRS2,Hours worked at job 4 in week 2.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKHRS3,Hours worked at job 4 in week 3.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKHRS4,Hours worked at job 4 in week 4.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKHRS5,Hours worked at job 4 in week 5.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKLY1,What is/was the gross dollar amount of ... the first weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKSUM1,Recode of amount of wage/salary earnings for week 1 of job 4,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKSUM2,Recode of amount of wage/salary earnings for week 2 of job 4,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKSUM3,Recode of amount of wage/salary earnings for week 3 of job 4,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKSUM4,Recode of amount of wage/salary earnings for week 4 of job 4,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WKSUM5,Recode of amount of wage/salary earnings for week 5 of job 4,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WSBEG,What time of the day did ... begin work most days?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB4_WSEND,What time of the day did ... end work most days?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_ANNSAL1,What is/was the gross dollar amount of ... first annual salary before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_ANNSAL2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_ANNSAL3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_BWKLY1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_BWKLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_BWKLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_BXAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_CXAMT,A variable describing how much the respondent received in commission payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_EMPALL,About how many people are employed by ... at ALL LOCATIONS together?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_EMPB,"What is the maximum number of employees, including ..., working for ... at any given time?",Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_GAMT1,What is/was the gross dollar amount of ... actual gross pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_HOURLY1,What is/was the gross dollar amount of ... the first hourly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_HOURLY2,What is/was the gross dollar amount of ... the second hourly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_HOURLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_IMBMIC,How many miles were reimbursed?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_IND,Industry code,Labor Force,EJBIND2,Industry code,Job,
,TJB5_JOBHRS1,First number of hours worked per week within a job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_JOBHRS2,Second number of hours worked per week within a job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_JOBHRS3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_MSUM,Monthly earnings from job 5.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_MTHLY1,What is/was the gross dollar amount of ... the first monthly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_MTHLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_MTHLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_MWKHRS,Average number of hours worked per week at job 5 during the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_OCC,Occupation code,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_OINCAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_OTHER1,What is/was the gross dollar amount of ... the first average monthly pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_OTHER2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_OTHER3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_OXAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_PRFTB,Amount of profit/loss a business made after correcting for any salary/wages that may have been paid to the owner.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_PVMILE,How many miles did ... drive each way as part of his/her commute?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_PVOEXPC,What is the annual amount of ... other job-related expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_PVOTHRC,How much are ... work commuting expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_PVPARKC,How much did ... spend on parking and tolls?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_PVTIME,What is ... one-way travel to work in minutes?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_SMTHLY1,What is/was the gross dollar amount of ... the first bi-monthly pay rate pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_SMTHLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_SMTHLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_STRTYR,In what year did ... begin this job/business?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_TXAMT,A variable describing how much the respondent received in tips payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKHRS1,Hours worked at job 5 in week 1.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKHRS2,Hours worked at job 5 in week 2.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKHRS3,Hours worked at job 5 in week 3.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKHRS4,Hours worked at job 5 in week 4.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKHRS5,Hours worked at job 5 in week 5.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKLY1,What is/was the gross dollar amount of ... the first weekly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKSUM1,Recode of amount of wage/salary earnings for week 1 of job 5,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKSUM2,Recode of amount of wage/salary earnings for week 2 of job 5,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKSUM3,Recode of amount of wage/salary earnings for week 3 of job 5,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKSUM4,Recode of amount of wage/salary earnings for week 4 of job 5,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WKSUM5,Recode of amount of wage/salary earnings for week 5 of job 5,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WSBEG,What time of the day did ... begin work most days?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB5_WSEND,What time of the day did ... end work most days?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_ANNSAL1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_ANNSAL2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_ANNSAL3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_BWKLY1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_BWKLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_BWKLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_BXAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_CXAMT,A variable describing how much the respondent received in commission payments in the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_EMPALL,About how many people are employed by ... at ALL LOCATIONS together?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_EMPB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_GAMT1,What is/was the gross dollar amount of ... actual gross pay before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_HOURLY1,What is/was the gross dollar amount of ... the first hourly pay rate before any taxes and other deductions?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_HOURLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_HOURLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_IMBMIC,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_IND,Industry code,Labor Force,EJBIND2,Industry code,Job,
,TJB6_JOBHRS1,First number of hours worked per week within a job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_JOBHRS2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_JOBHRS3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_MSUM,Monthly earnings from job 6.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_MTHLY1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_MTHLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_MTHLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_MWKHRS,Average number of hours worked per week at job 6 during the reference month.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_OCC,Occupation code,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_OINCAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_OTHER1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_OTHER2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_OTHER3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_OXAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_PRFTB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_PVMILE,How many miles did ... drive each way as part of his/her commute?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_PVOEXPC,What is the annual amount of ... other job-related expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_PVOTHRC,How much are ... work commuting expenses?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_PVPARKC,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_PVTIME,What is ... one-way travel to work in minutes?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_SMTHLY1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_SMTHLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_SMTHLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_STRTYR,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_TXAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKHRS1,Hours worked at job 6 in week 1.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKHRS2,Hours worked at job 6 in week 2.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKHRS3,Hours worked at job 6 in week 3.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKHRS4,Hours worked at job 6 in week 4.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKHRS5,Hours worked at job 6 in week 5.,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKLY1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKSUM1,Recode of amount of wage/salary earnings for week 1 of job 6,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKSUM2,Recode of amount of wage/salary earnings for week 2 of job 6,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKSUM3,Recode of amount of wage/salary earnings for week 3 of job 6,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKSUM4,Recode of amount of wage/salary earnings for week 4 of job 6,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WKSUM5,Recode of amount of wage/salary earnings for week 5 of job 6,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WSBEG,What time of the day did ... begin work most days?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB6_WSEND,What time of the day did ... end work most days?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_ANNSAL1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_ANNSAL2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_ANNSAL3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_BWKLY1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_BWKLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_BWKLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_BXAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_CXAMT,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_EMPALL,About how many people are employed by ... at ALL LOCATIONS together?,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_EMPB,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_GAMT1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_HOURLY1,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_HOURLY2,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_HOURLY3,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_IMBMIC,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,TJB7_IND,Industry code,Labor Force,EJBIND2,Industry code,Job,
,TJB7_JOBHRS1,First number of hours worked per week within a job.,Labor Force,*** NO MATCH AVAILABLE ***,,,
